MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
18-May,,0.19,0.02,0.16,0.25,0.23,0.68,1.44,1.08,0.03,0.36,0.6,0.15,0.53,0.43,0.4,0.46,0.43,0.3,1.04,0.02,0.45,0.06,0.38,0.37,1.63
19-May,,0.94,2.12,0.98,0.85,0.22,1.44,0.16,0.35,2.21,0.36,0.34,0.02,0.44,1.62,0.4,0.44,1.03,1.3,1.47,1.1,0.45,0.06,0.76,0.35,0.22
20-May,,0.17,0.31,1.09,0.16,1.27,0.44,0.33,0.07,0.84,0.36,0.08,0.02,0.44,0.55,0.44,0.44,0.29,0.21,0.23,1.13,0.45,0.06,0.38,0.91,0.09
21-May,,0.03,0.76,4.08,0.35,1.39,0.04,0.9,0.01,0.48,0.14,0.26,0.05,0.47,0.4,0.4,0.92,0.85,0.94,2.85,0.21,0.53,0.55,0.32,0.57,0.46
22-May,,0.06,0.17,0.71,1.37,0.61,0.02,0.1,1.57,0.63,0.37,0.32,0.12,0.47,0.03,0.4,0.44,0.84,0.38,1.37,0.09,0.58,0.53,0.37,0.14,0.56
23-May,,5.12,1.32,2.72,0.33,0.59,0.14,0.86,3.13,0.48,3.47,0.49,0.29,0.79,0,0.73,0.48,0.8,0.07,6.59,0.09,0.55,0.53,1.2,1.91,0.48
24-May,,0.36,0.33,1.03,0.33,0.46,4.75,0.58,0.5,0.67,1.55,1.06,1.07,0.47,0.02,0.4,0.44,0.13,0.06,0.63,0.09,0.53,0.58,0.43,0.99,0.46
25-May,,1.86,0.13,0.35,0.34,0.57,0.32,0.3,0.02,0.48,0.11,0.59,2.14,0.57,3.33,0.79,0.44,0.13,2.01,0.39,2.66,0.53,0.53,0.39,0.08,0.77
26-May,,1.68,1.09,0.13,0.24,3.69,0.79,0.29,0.03,0.32,0.29,0.43,0.15,0.06,11.1,0.01,0.35,0.18,0.3,1,0.36,0.4,0.27,0.3,0.34,0.83
27-May,,0.31,0.2,1.37,1.27,2.41,0.49,6.91,0.03,0.32,0.61,0.32,1.5,0.07,0.09,0.33,0.34,0.27,0.12,0.19,0.11,0.34,0.15,0.12,0.34,0.82
